Timestamp,Memory_Usage_%,Memory_Used_MB,Disk_Usage_%,CPU_Usage_%,Net_In_KB/s,Net_Out_KB/s,gpu_0_util_%,gpu_0_mem_used_mb,gpu_0_mem_total_mb,gpu_1_util_%,gpu_1_mem_used_mb,gpu_1_mem_total_mb,gpu_2_util_%,gpu_2_mem_used_mb,gpu_2_mem_total_mb,gpu_3_util_%,gpu_3_mem_used_mb,gpu_3_mem_total_mb
2026-04-09 14:11:20,15.81,40729.0,51.0,11.3,0,0,9,3095,49140,100,2615,49140,0,20,49140,50,25367,49140
2026-04-09 14:11:26,15.8,40707.0,51.0,12.3,0,0,5,3095,49140,37,2615,49140,0,20,49140,8,25367,49140
2026-04-09 14:11:32,15.81,40718.0,51.0,11.9,0,0,5,3095,49140,51,2615,49140,0,20,49140,11,25367,49140
2026-04-09 14:11:39,15.8,40700.0,51.0,9.6,0,0,3,3139,49140,100,2615,49140,0,20,49140,9,25367,49140
2026-04-09 14:11:45,15.8,40695.0,51.0,8.1,0,0,10,3139,49140,0,2615,49140,0,20,49140,41,25367,49140
2026-04-09 14:11:52,15.82,40737.0,51.0,6.4,0,0,5,3139,49140,100,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:11:58,15.8,40703.0,51.0,7.5,0,0,4,3139,49140,39,2615,49140,0,20,49140,57,25367,49140
2026-04-09 14:12:05,15.8,40707.0,51.0,7.3,0,0,12,3185,49140,99,2615,49140,0,20,49140,66,25367,49140
2026-04-09 14:12:11,15.8,40706.0,51.0,7.3,0,0,5,3185,49140,80,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:12:18,15.8,40704.0,51.0,6.6,0,0,4,3185,49140,100,2615,49140,0,20,49140,9,25367,49140
2026-04-09 14:12:24,15.81,40711.0,51.0,9.5,0,0,17,3185,49140,100,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:12:31,15.88,40891.0,51.0,5.6,0,0,3,3185,49140,100,2615,49140,0,20,49140,35,25367,49140
